Country or Area,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-19 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-24 yr Poorest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Female 15-24 yr Richest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-19 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-24 yr Poorest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Male 15-24 yr Richest 20%,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Rural Female 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Percent_Urban Female 15-24 yr,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Ratio_Female 15-24 yr Ratio of richest to poorest,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Ratio_Female 15-24 yr Ratio of urban to rural,Proportion of 15-24 year-olds who have comprehensive knowledge of HIV_Ratio_Male 15-24 yr Ratio of richest to poorest
Cambodia,43.0,44.0,28.0,58.0,41.0,44.0,30.0,64.0,41.0,55.0,2.1,1.3,2.1
Cameroon,32.0,32.0,12.0,50.0,,34.0,,,18.0,42.0,4.0,2.4,
Central African Republic,16.0,17.0,14.0,23.0,26.0,26.0,19.0,33.0,13.0,21.0,1.6,1.6,1.7
Chad,10.0,10.0,6.0,18.0,,,,,7.0,18.0,2.9,2.6,
Colombia,21.0,24.0,15.0,32.0,,,,,21.0,30.0,2.2,1.4,
Congo,8.0,8.0,5.0,12.0,18.0,22.0,12.0,27.0,6.0,9.0,2.4,1.5,2.3
Cuba,54.0,54.0,,,,,,,49.0,55.0,,1.1,
Democratic People's Republic of Korea,7.0,8.0,,,,,,,4.0,11.0,,2.8,
Democratic Republic of the Congo,13.0,15.0,8.0,24.0,,,14.0,30.0,12.0,21.0,2.8,1.7,2.2
Djibouti,16.0,18.0,,,,,,,9.0,18.0,,2.0,
Dominica,,56.0,,,,48.0,,,,,,,
Dominican Republic,39.0,41.0,31.0,46.0,33.0,34.0,21.0,41.0,37.0,42.0,1.5,1.2,2.0
East Asia and Pacific,20.0,23.0,14.0,35.0,,,,,21.0,24.0,2.4,1.1,
Eastern and Southern Africa,35.0,36.0,,,38.0,40.0,,,32.0,48.0,,1.5,
Egypt,3.0,5.0,2.0,9.0,16.0,18.0,9.0,28.0,3.0,7.0,4.9,2.3,3.1
El Salvador,,27.0,,,,,,,,,,,
Ethiopia,24.0,24.0,,,32.0,34.0,,,19.0,38.0,,2.0,
Gambia,33.0,33.0,20.0,48.0,,,,,24.0,41.0,2.4,1.7,
Ghana,28.0,28.0,17.0,34.0,30.0,34.0,23.0,50.0,22.0,34.0,2.1,1.5,2.1
Grenada,,65.0,,,,60.0,,,,,,,
Guatemala,20.0,22.0,5.0,41.0,24.0,24.0,,,14.0,32.0,7.8,2.2,
Guinea-Bissau,12.0,15.0,6.0,25.0,,,,,8.0,22.0,4.3,2.8,
Guyana,53.0,54.0,37.0,72.0,45.0,47.0,25.0,65.0,47.0,72.0,2.0,1.5,2.6
Haiti,31.0,34.0,18.0,41.0,34.0,40.0,28.0,52.0,26.0,38.0,2.2,1.4,1.9
Honduras,28.0,30.0,13.0,44.0,,,,,21.0,37.0,3.4,1.8,
India,19.0,20.0,4.0,45.0,35.0,36.0,15.0,55.0,14.0,33.0,11.7,2.4,3.8
Indonesia,6.0,10.0,3.0,23.0,2.0,15.0,2.0,27.0,6.0,16.0,7.5,2.5,12.2
Iraq,3.0,3.0,,,,,,,1.0,4.0,,4.4,
Jamaica,61.0,63.0,54.0,69.0,52.0,54.0,,,60.0,66.0,1.3,1.1,
Jordan,12.0,13.0,,,,,,,,,,,
Kazakhstan,22.0,22.0,18.0,28.0,,,,,21.0,24.0,1.6,1.1,
Kenya,42.0,48.0,29.0,61.0,52.0,55.0,42.0,68.0,45.0,57.0,2.1,1.3,1.6
Kiribati,41.0,44.0,42.0,49.0,46.0,49.0,38.0,52.0,43.0,45.0,1.2,1.1,1.4
Kyrgyzstan,19.0,20.0,17.0,29.0,,,,,18.0,23.0,1.7,1.3,
Least Developed Countries/Territories,22.0,24.0,,,,30.0,,,24.0,35.0,,1.4,
Lesotho,35.0,39.0,26.0,48.0,28.0,29.0,14.0,45.0,36.0,44.0,1.8,1.2,3.3
Liberia,18.0,21.0,14.0,29.0,21.0,27.0,17.0,37.0,15.0,26.0,2.1,1.8,2.2
Madagascar,23.0,23.0,10.0,42.0,26.0,26.0,8.0,49.0,19.0,40.0,4.3,2.1,6.5
Malawi,40.0,42.0,34.0,55.0,45.0,45.0,35.0,54.0,38.0,56.0,1.6,1.5,1.5
Malaysia,,,23.0,48.0,,,,,,,2.0,,
Maldives,22.0,35.0,9.0,19.0,,,,,32.0,43.0,2.0,1.4,
Mali,14.0,15.0,,,,,,,12.0,19.0,,1.5,
Marshall Islands,27.0,27.0,12.0,39.0,35.0,39.0,37.0,58.0,12.0,33.0,3.3,2.7,1.6
Mauritania,4.0,5.0,0.0,12.0,10.0,14.0,4.0,27.0,2.0,8.0,29.5,4.7,6.2
Mongolia,28.0,32.0,17.0,42.0,24.0,29.0,12.0,48.0,21.0,36.0,2.5,1.7,4.1
Mozambique,37.0,36.0,41.0,43.0,31.0,34.0,16.0,45.0,32.0,43.0,1.1,1.4,2.7
Myanmar,31.0,32.0,,,,,,,,,,,
Namibia,62.0,65.0,61.0,69.0,59.0,62.0,55.0,67.0,65.0,65.0,1.1,1.0,1.2
Nauru,8.0,13.0,13.0,10.0,8.0,10.0,,25.0,,,0.8,,
Nepal,25.0,26.0,12.0,49.0,33.0,34.0,30.0,59.0,24.0,40.0,4.3,1.7,2.0
Niger,12.0,13.0,5.0,30.0,14.0,16.0,6.0,34.0,8.0,31.0,6.5,3.8,5.8
Nigeria,20.0,22.0,9.0,34.0,28.0,33.0,18.0,41.0,18.0,30.0,3.6,1.7,2.2
Pakistan,2.0,3.0,,,,,,,,,,,
Peru,17.0,19.0,,,,,,,,,,,
Philippines,19.0,21.0,14.0,26.0,,,,,17.0,23.0,1.8,1.4,
Republic of Moldova,,42.0,,,,39.0,,,,,,,
Rwanda,49.0,53.0,,,44.0,47.0,,,50.0,66.0,,1.3,
Saint Kitts and Nevis,,53.0,,,,50.0,,,,,,,
Samoa,2.0,3.0,3.0,3.0,5.0,6.0,3.0,9.0,2.0,5.0,1.0,2.4,2.7
Sao Tome and Principe,39.0,43.0,27.0,56.0,39.0,43.0,39.0,55.0,38.0,47.0,2.0,1.3,1.4
Senegal,26.0,29.0,,,28.0,31.0,,,18.0,41.0,,2.2,
Serbia,53.0,54.0,28.0,69.0,43.0,48.0,28.0,66.0,41.0,63.0,2.4,1.5,2.4
Sierra Leone,16.0,23.0,14.0,36.0,26.0,,,,19.0,30.0,2.6,1.6,
Solomon Islands,29.0,29.0,17.0,37.0,26.0,35.0,35.0,50.0,28.0,34.0,2.1,1.2,1.5
Somalia,3.0,4.0,1.0,8.0,,,,,2.0,7.0,13.5,4.1,
South Asia,15.0,17.0,4.0,44.0,34.0,34.0,15.0,55.0,14.0,33.0,11.7,2.3,3.8
South Sudan,8.0,10.0,3.0,18.0,,,,,7.0,16.0,6.1,2.3,
Sub-Saharan Africa,26.0,28.0,16.0,36.0,34.0,36.0,22.0,45.0,25.0,34.0,2.2,1.4,2.0
Sudan,4.0,5.0,1.0,11.0,,11.0,,,3.0,10.0,13.6,3.4,
Suriname,41.0,41.0,23.0,54.0,,,,,32.0,45.0,2.4,1.4,
Swaziland,56.0,58.0,49.0,72.0,52.0,54.0,44.0,64.0,55.0,70.0,1.5,1.3,1.5
Syrian Arab Republic,6.0,7.0,4.0,10.0,,,,,7.0,7.0,2.9,1.0,
Tajikistan,11.0,14.0,,,9.0,13.0,,,,,,,
Thailand,46.0,46.0,47.0,43.0,,,,,47.0,43.0,0.9,0.9,
The former Yugoslav Republic of Macedonia,23.0,27.0,9.0,45.0,,,,,18.0,33.0,5.0,1.8,
Timor-Leste,11.0,12.0,9.0,16.0,15.0,20.0,11.0,35.0,12.0,14.0,1.8,1.2,3.0
Togo,33.0,33.0,18.0,42.0,,42.0,20.0,55.0,27.0,39.0,2.3,1.4,2.7
Trinidad and Tobago,49.0,54.0,48.0,62.0,,,,,,,1.3,,
Turkmenistan,4.0,5.0,3.0,8.0,,,,,4.0,7.0,2.8,2.0,
Tuvalu,31.0,39.0,34.0,39.0,57.0,61.0,,67.0,41.0,38.0,1.2,0.9,
Uganda,36.0,39.0,20.0,47.0,36.0,39.0,28.0,47.0,35.0,48.0,2.3,1.4,1.6
Ukraine,39.0,45.0,33.0,45.0,33.0,43.0,28.0,42.0,37.0,48.0,1.4,1.3,1.5
United Republic of Tanzania,46.0,48.0,39.0,55.0,41.0,43.0,34.0,56.0,45.0,55.0,1.4,1.2,1.7
Uzbekistan,27.0,31.0,25.0,33.0,,,,,30.0,33.0,1.3,1.1,
Vanuatu,14.0,15.0,9.0,23.0,,,,,13.0,23.0,2.7,1.8,
Viet Nam,51.0,51.0,38.0,68.0,,,,,48.0,58.0,1.8,1.2,
Western and Central Africa,19.0,21.0,10.0,30.0,28.0,33.0,17.0,38.0,16.0,29.0,3.0,1.8,2.2
World,19.0,21.0,,,,,,,18.0,,,,
Yemen,2.0,2.0,0.0,4.0,,,,,1.0,4.0,,6.7,
Zambia,36.0,38.0,24.0,48.0,38.0,41.0,24.0,51.0,27.0,42.0,2.0,1.6,2.1
Zimbabwe,46.0,52.0,31.0,52.0,42.0,47.0,37.0,51.0,47.0,59.0,1.7,1.3,1.4
