Country or Area,Average annual rate of reduction of total fertility rate_1970-1990,Average annual rate of reduction of total fertility rate_1990-2011
Japan,1.5,0.6
Jordan,1.6,3.1
Kazakhstan,1.1,0.5
Kenya,1.5,1.2
Kuwait,5.1,0.6
Kyrgyzstan,1.2,1.8
Lao People's Democratic Republic,-0.1,4.0
Latin America and Caribbean,2.5,1.8
Latvia,0.0,1.2
Least Developed Countries/Territories,0.6,1.7
Lebanon,2.4,2.7
Lesotho,0.8,2.1
Liberia,0.1,1.1
Libya,2.3,3.1
Lithuania,0.7,1.4
Luxembourg,1.1,-0.3
Madagascar,0.8,1.5
Malawi,0.4,0.6
Malaysia,1.6,1.4
Maldives,0.8,6.1
Mali,-0.1,0.6
Malta,-0.2,2.2
Mauritania,0.7,1.4
Mauritius,2.7,1.7
Mexico,3.4,1.9
Micronesia (Federated States of),1.7,1.8
Middle East and North Africa,1.5,2.8
Mongolia,3.1,2.4
Montenegro,1.2,0.6
Morocco,2.8,2.8
Mozambique,0.3,1.2
Myanmar,2.8,2.6
Namibia,1.1,2.4
Nepal,0.8,3.2
Netherlands,2.2,-0.6
New Zealand,2.0,-0.2
Nicaragua,1.9,2.9
Niger,-0.3,0.5
Nigeria,0.1,0.7
Norway,1.5,-0.2
Oman,0.1,5.5
Pakistan,0.5,2.8
Panama,2.8,1.0
Papua New Guinea,1.2,1.0
Paraguay,1.2,2.1
Peru,2.5,2.1
Philippines,1.9,1.6
Poland,0.4,1.8
Portugal,3.3,0.7
Qatar,2.5,3.0
Republic of Korea,5.2,0.8
Republic of Moldova,0.3,2.4
Romania,2.1,1.5
Russian Federation,0.3,1.0
Rwanda,0.7,1.3
Saint Lucia,2.9,2.6
Saint Vincent and the Grenadines,3.6,1.8
Samoa,1.2,1.1
Sao Tome and Principe,0.9,1.9
Saudi Arabia,1.1,3.6
Senegal,0.5,1.6
Serbia,0.6,1.4
Sierra Leone,0.1,0.7
Singapore,2.9,1.5
Slovakia,1.0,2.0
Slovenia,2.0,0.1
Solomon Islands,0.8,1.6
Somalia,0.4,0.2
South Africa,2.1,2.0
South Asia,1.6,2.1
Spain,3.8,-0.5
Sri Lanka,2.8,0.4
State of Palestine,0.9,1.9
Sub-Saharan Africa,0.3,1.2
Sudan (pre-cession),0.5,1.5
Suriname,3.6,0.8
Swaziland,0.9,2.7
Sweden,0.1,0.2
Switzerland,1.6,0.1
Syrian Arab Republic,1.8,3.0
Tajikistan,1.4,2.2
Thailand,4.9,1.4
The former Yugoslav Republic of Macedonia,1.9,1.9
Timor-Leste,0.5,-0.6
Togo,0.6,2.2
Tonga,1.2,0.9
Trinidad and Tobago,1.8,1.9
Tunisia,3.0,2.9
Turkey,3.0,1.9
Turkmenistan,1.9,2.9
Uganda,0.0,0.8
Ukraine,0.6,1.2
United Arab Emirates,2.0,4.5
United Kingdom,1.2,-0.1
United Republic of Tanzania,0.4,0.6
United States,0.7,-0.3
Uruguay,0.7,0.9
Uzbekistan,2.2,2.8
Vanuatu,1.2,1.2
Venezuela (Bolivarian Republic of),2.2,1.7
Viet Nam,3.6,3.3
Western and Central Africa,0.1,1.0
World,1.9,1.3
Yemen,-0.7,2.5
Zambia,0.7,0.1
Zimbabwe,1.8,2.3
