Country or Area,Proportion of population with access to improved sanitation_Percent_Rural,Proportion of population with access to improved sanitation_Percent_Total,Proportion of population with access to improved sanitation_Percent_Urban,Proportion of population with access to improved sanitation_Ratio_Ratio of urban to rural
Solomon Islands,,,98.0,
Somalia,6.0,23.0,52.0,8.7
South Africa,67.0,79.0,86.0,1.3
South Asia,28.0,38.0,60.0,2.1
Spain,100.0,100.0,100.0,1.0
Sri Lanka,93.0,92.0,88.0,0.9
State of Palestine,92.0,92.0,92.0,1.0
Sub-Saharan Africa,23.0,30.0,43.0,1.9
Sudan (pre-cession),14.0,26.0,44.0,3.1
Suriname,66.0,83.0,90.0,1.4
Swaziland,55.0,57.0,64.0,1.2
Sweden,100.0,100.0,100.0,1.0
Switzerland,100.0,100.0,100.0,1.0
Syrian Arab Republic,93.0,95.0,96.0,1.0
Tajikistan,94.0,94.0,95.0,1.0
Thailand,96.0,96.0,95.0,1.0
The former Yugoslav Republic of Macedonia,82.0,88.0,92.0,1.1
Timor-Leste,37.0,47.0,73.0,2.0
Togo,3.0,13.0,26.0,8.7
Tonga,96.0,96.0,98.0,1.0
Trinidad and Tobago,92.0,92.0,92.0,1.0
Tunisia,,,96.0,
Turkey,75.0,90.0,97.0,1.3
Turkmenistan,97.0,98.0,99.0,1.0
Tuvalu,81.0,85.0,88.0,1.1
Uganda,34.0,34.0,34.0,1.0
Ukraine,89.0,94.0,96.0,1.1
United Arab Emirates,95.0,98.0,98.0,1.0
United Kingdom,100.0,100.0,100.0,1.0
United Republic of Tanzania,7.0,10.0,20.0,2.9
United States,99.0,100.0,100.0,1.0
Uruguay,99.0,100.0,100.0,1.0
Uzbekistan,100.0,100.0,100.0,1.0
Vanuatu,54.0,57.0,64.0,1.2
Viet Nam,68.0,76.0,94.0,1.4
Western and Central Africa,20.0,26.0,35.0,1.8
World,47.0,63.0,79.0,1.7
Yemen,34.0,53.0,93.0,2.7
Zambia,43.0,48.0,57.0,1.3
Zimbabwe,32.0,40.0,52.0,1.6
